#{"t_start": 1774620365.5528686, "env_id": "None"}
r,l,t
377.705311,50,297.202644
370.979204,50,297.911453
376.036496,50,298.649379
375.736099,50,299.37264
380.096763,50,300.171175
382.834563,50,300.895548
370.211355,50,301.614045
371.127374,50,302.459978
381.24479,50,303.343616
366.968326,50,304.035565
372.222673,50,304.696526
362.57691,50,305.416795
368.838313,50,306.101001
374.827855,50,306.817673
380.678627,50,307.485209
375.852099,50,308.197465
371.354288,50,308.892396
380.900613,50,310.122838
368.99369,50,310.840834
369.686717,50,311.711649
382.449828,50,312.721168
378.415345,50,313.444926
382.856139,50,314.248823
388.805932,50,315.008257
376.790308,50,315.720581
382.921714,50,316.560365
383.702518,50,317.360158
382.841432,50,318.107424
382.380082,50,318.971141
366.350093,50,319.747359
381.962315,50,320.430485
376.468077,50,321.143667
366.340875,50,322.0636
360.459136,50,322.828841
381.520218,50,323.489246
384.403463,50,324.172109
374.221964,50,324.870829
382.814975,50,325.763477
362.726107,50,326.548379
362.5524,50,327.342533
379.372918,50,327.947067
373.831401,50,328.545657
359.731677,50,329.223948
386.569463,50,329.948508
381.053852,50,330.612016
379.294618,50,331.270429
372.22728,50,331.90157
357.816263,50,332.640317
377.99119,50,333.431153
384.193948,50,334.109465
379.81126,50,334.802051
381.013008,50,335.526315
352.801535,50,336.249427
382.693131,50,336.847734
377.645049,50,337.438243
369.83757,50,338.029474
373.400633,50,338.637097
368.802052,50,339.835532
379.667538,50,340.435648
373.205392,50,341.023408
366.734992,50,341.594112
373.162338,50,342.174462
376.964837,50,342.740908
375.774913,50,343.317972
373.32165,50,343.937375
374.41208,50,344.506956
372.623426,50,345.086188
365.452339,50,345.667271
370.72858,50,346.239491
366.158489,50,346.817243
380.244632,50,347.393588
372.989898,50,347.984283
382.414306,50,348.564928
374.252629,50,349.152313
369.816748,50,349.73443
382.315602,50,350.402454
370.780177,50,350.985977
373.675657,50,351.563465
383.823029,50,352.157281
385.873409,50,352.74287
378.717947,50,353.326782
385.759408,50,353.900064
371.781341,50,354.471335
376.472017,50,355.03419
373.846269,50,355.607567
374.096479,50,356.176543
376.503448,50,356.748554
376.889977,50,357.321769
368.362107,50,357.898532
369.931142,50,358.477175
378.550865,50,359.098498
371.350406,50,359.687747
376.184768,50,360.258694
378.962659,50,360.83232
384.344868,50,361.41821
379.949192,50,362.013107
380.592811,50,362.583386
383.827895,50,363.629752
370.654322,50,364.20311
386.949114,50,364.778955
380.575607,50,365.351966
373.878587,50,365.985748
380.274951,50,366.567846
385.699259,50,367.182293
373.789568,50,367.749756
369.485736,50,368.32883
376.670924,50,368.921343
372.136757,50,369.4927
344.400687,50,370.064917
358.605813,50,370.633849
380.840673,50,371.210583
383.742435,50,371.790139
381.302746,50,372.35778
371.905156,50,372.950051
376.551373,50,373.519358
382.669209,50,374.111159
383.638606,50,374.684724
373.336212,50,375.258111
365.737844,50,375.8299
374.603579,50,376.487733
375.274568,50,377.118743
374.452056,50,377.781394
361.819609,50,378.414248
382.559124,50,379.131336
380.106655,50,379.847172
377.926475,50,380.486068
378.39147,50,381.217051
341.955251,50,381.862585
364.499782,50,382.513052
380.240082,50,383.177299
382.232135,50,383.814118
378.706919,50,384.56825
375.659605,50,385.21522
378.436363,50,385.813734
367.919839,50,386.440351
376.782713,50,387.055648
388.123265,50,387.648475
361.10992,50,388.884774
388.524478,50,389.532597
368.103098,50,390.123133
370.634937,50,390.713945
371.684449,50,391.302465
353.891541,50,391.901831
343.208739,50,392.488941
373.700411,50,393.103777
376.0311,50,393.69067
379.829329,50,394.282608
382.632179,50,394.877044
377.605887,50,395.46701
365.548383,50,396.092066
340.934762,50,396.755364
376.173558,50,397.488779
364.682239,50,398.233848
372.488306,50,398.840842
367.794043,50,399.430377
380.472146,50,400.032086
375.87053,50,400.644396
379.256999,50,401.238383
372.472415,50,401.835061
366.635797,50,402.454023
366.33865,50,403.073092
351.938893,50,403.655968
360.383932,50,404.257869
368.004705,50,404.864703
366.075611,50,405.445065
371.01211,50,406.03986
372.544014,50,406.621526
377.643591,50,407.233748
370.134561,50,407.841436
370.694276,50,408.455207
380.524864,50,409.048159
385.052325,50,409.642477
376.602607,50,410.232451
375.665792,50,410.815238
376.324977,50,411.398827
380.806125,50,411.992544
378.140035,50,412.582003
342.8907,50,413.665975
379.663897,50,414.256481
371.308566,50,414.873645
371.247956,50,415.457811
380.946285,50,416.04329
340.396382,50,416.655516
376.008336,50,417.270943
378.737681,50,417.851294
380.910999,50,418.454086
382.185789,50,419.037291
375.964233,50,419.632296
380.995867,50,420.218516
345.570071,50,420.802012
349.117173,50,421.430903
378.528568,50,422.031295
338.412788,50,422.616861
377.328744,50,423.234397
346.634871,50,423.837804
373.944186,50,424.43963
381.315347,50,425.032962
372.544189,50,425.617281
374.719276,50,426.19938
364.514367,50,426.809706
373.325474,50,427.415094
356.678841,50,428.001098
375.919629,50,428.590107
370.200222,50,429.180019
371.926141,50,429.777022
372.025292,50,430.373492
383.623744,50,430.963871
381.047943,50,431.551472
376.235037,50,432.157357
367.807401,50,432.758747
377.312697,50,433.367715
379.549732,50,433.962739
364.862213,50,434.546566
380.637835,50,435.129978
363.545783,50,435.714155
388.540194,50,436.297927
382.126292,50,436.892259
380.35864,50,437.958068
374.390574,50,438.55306
368.902235,50,439.141842
347.517346,50,439.735367
356.454218,50,440.322848
376.693789,50,440.914339
373.607302,50,441.502119
381.875791,50,442.096636
385.356358,50,442.685089
379.060277,50,443.27702
383.753838,50,443.87443
381.011379,50,444.479123
377.759323,50,445.108042
379.514477,50,445.693527
370.081785,50,446.289941
379.57303,50,446.886958
373.328931,50,447.474106
371.798741,50,448.076749
365.000937,50,448.656488
381.114789,50,449.251807
387.297,50,449.943461
379.316552,50,450.559007
375.509335,50,451.146152
374.548575,50,451.730331
386.396652,50,452.326068
378.963691,50,452.917657
384.140633,50,453.511698
382.771672,50,454.129297
382.524821,50,454.722616
377.117779,50,455.317902
376.704147,50,455.900533
374.390914,50,456.497153
372.673277,50,457.102152
377.805567,50,457.684921
383.244094,50,458.286265
383.533011,50,458.875336
380.562873,50,459.483533
377.478627,50,460.095379
383.122741,50,460.719556
379.168384,50,461.321241
377.252018,50,462.387326
378.111758,50,462.979189
382.092968,50,463.561224
378.710285,50,464.182755
384.933831,50,464.773586
375.365804,50,465.361595
377.773753,50,465.944996
365.490231,50,466.554333
371.177803,50,467.160238
351.61492,50,467.752739
371.322664,50,468.347822
376.438848,50,468.94436
361.165512,50,469.552335
355.856683,50,470.138255
358.421668,50,470.738513
358.374043,50,471.336931
366.524437,50,471.962351
375.508599,50,472.571314
381.962388,50,473.15414
384.108346,50,473.745583
375.280926,50,474.341085
383.69413,50,474.949611
380.700168,50,475.557021
381.214972,50,476.150347
366.035348,50,476.739664
381.325526,50,477.354364
360.688081,50,477.942325
359.626664,50,478.535524
358.97523,50,479.124564
367.869929,50,479.730768
376.434567,50,480.311313
379.39648,50,480.896922
375.2746,50,481.476324
376.75803,50,482.102291
377.422306,50,482.71205
377.225609,50,483.303241
370.48624,50,483.896067
379.507906,50,484.494605
380.307509,50,485.079277
379.302195,50,485.663678
383.237236,50,486.711581
377.394285,50,487.339547
376.900616,50,487.94918
374.739918,50,488.537872
378.003629,50,489.123278
379.334814,50,489.719419
374.350271,50,490.303356
378.196664,50,490.908877
359.432985,50,491.506448
385.413864,50,492.118155
381.638592,50,492.699352
380.301056,50,493.313981
379.019867,50,493.924011
380.950449,50,494.516402
388.054812,50,495.118555
373.996271,50,495.716476
386.524055,50,496.321851
388.042383,50,496.904198
375.122398,50,497.485337
372.777091,50,498.067466
367.292382,50,498.654612
374.597219,50,499.239396
382.14638,50,499.823004
379.645465,50,500.40709
376.603395,50,500.993109
376.870296,50,501.6127
376.234036,50,502.200387
381.771138,50,502.801409
376.921694,50,503.388191
380.754878,50,503.977155
375.709943,50,504.561332
384.877139,50,505.148751
381.063735,50,505.754998
371.845804,50,506.357765
386.386964,50,506.945041
366.202816,50,507.527416
374.520612,50,508.118535
386.885538,50,508.702461
385.018087,50,509.284987
386.785414,50,509.877178
376.372536,50,511.03908
378.0575,50,511.653391
365.797183,50,512.2384
374.018369,50,512.828261
382.401927,50,513.421082
376.719898,50,514.033212
369.017439,50,514.643481
356.003153,50,515.249601
364.829084,50,515.846123
376.520434,50,516.44081
378.193153,50,517.027823
384.746424,50,517.612944
374.00905,50,518.214417
375.237406,50,518.820863
376.472313,50,519.414324
374.649873,50,520.013686
341.025516,50,520.619833
373.043716,50,521.207191
364.936064,50,521.802672
367.901608,50,522.386557
379.084139,50,522.996378
392.464691,50,523.604737
277.75312,50,524.193621
374.587151,50,524.794602
379.842882,50,525.378077
374.494396,50,525.962669
363.867533,50,526.543676
383.601296,50,527.135815
370.475004,50,527.733123
388.252175,50,528.328089
382.370133,50,528.931776
380.023679,50,529.54563
362.44974,50,530.135307
366.987171,50,530.73495
350.222574,50,531.318246
370.005541,50,531.903345
364.434589,50,532.502583
369.90847,50,533.096756
336.195985,50,533.690474
358.47021,50,534.299211
373.822268,50,535.390856
370.354341,50,535.977532
374.990064,50,536.574939
360.960803,50,537.181735
376.507986,50,537.77949
380.694076,50,538.401352
372.247515,50,539.002415
371.521872,50,539.620222
376.259872,50,540.214829
376.883376,50,540.805079
378.986871,50,541.389643
348.373991,50,541.998025
354.550069,50,542.602348
284.138455,50,543.188197
264.527879,50,543.776401
364.523055,50,544.355508
377.831223,50,544.939231
365.532862,50,545.521361
370.191179,50,546.130813
292.515082,50,546.724238
370.5202,50,547.309395
377.084739,50,547.896434
368.3947,50,548.481308
378.135149,50,549.108675
370.402436,50,549.695766
377.389588,50,550.281315
378.106693,50,550.87084
371.265609,50,551.460222
379.105571,50,552.071764
386.357258,50,552.693525
350.272268,50,553.313532
376.384397,50,553.904668
359.918936,50,554.518461
369.938023,50,555.112978
380.410522,50,555.693631
381.372569,50,556.279874
380.236806,50,556.862303
381.510702,50,557.446038
378.772093,50,558.032692
371.919444,50,558.621831
